銘柄コード,銘柄名,市場区分,日経225採否,前日終値,時価総額,平均取引量,PBR,PER
9169,大伸社,PRO Market,False,0.0,2450820096.0,0.0,0.7199823,10.245902
9171,栗林商船,スタンダード（内国株式）,False,1126.0,14016504832.0,9217.0,0.44923416,7.0346727
9173,東海汽船,スタンダード（内国株式）,False,3160.0,6759429632.0,1317.0,1.5162494,21.80531
9193,東京汽船,スタンダード（内国株式）,False,1001.0,9921555456.0,21357.0,0.42854002,4.8513455
9201,日本航空,プライム（内国株式）,True,3177.0,1375501025280.0,2210920.0,1.1872836,12.859768
9202,ＡＮＡホールディングス,プライム（内国株式）,True,2993.0,1394615255040.0,2000266.0,1.2536035,10.209171
9204,スカイマーク,グロース（内国株式）,False,507.0,30352392192.0,161161.0,1.301374,13.941908
9206,スターフライヤー,スタンダード（内国株式）,False,2410.0,9166379008.0,5676.0,2.1111906,4.768834
9211,エフ・コード,グロース（内国株式）,False,2155.0,24771655680.0,203931.0,3.6722453,21.897259
9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,グロース（内国株式）,False,399.0,4472859648.0,13396.0,2.5929468,0.0
9213,セイファート,スタンダード（内国株式）,False,1868.0,2139696000.0,50474.0,2.071341,0.0
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,グロース（内国株式）,False,1670.0,2318970112.0,4247.0,3.1564014,16.339869
9215,ＣａＳｙ,グロース（内国株式）,False,1036.0,1939392000.0,3171.0,7.7914653,80.62257
9216,ビーウィズ,プライム（内国株式）,False,1526.0,21556733952.0,52265.0,2.4103312,48.306427
9218,メンタルヘルステクノロジーズ,グロース（内国株式）,False,793.0,8063570944.0,77719.0,5.530571,24.280352
9219,ギックス,グロース（内国株式）,False,944.0,5361072128.0,7660.0,2.9512038,0.0
9220,エフビー介護サービス,スタンダード（内国株式）,False,1162.0,2869935104.0,2984.0,0.7857434,7.6518188
9221,フルハシＥＰＯ,スタンダード（内国株式）,False,1120.0,12917922816.0,6353.0,2.3071818,12.693357
9222,ｍａｎａｂｙ,PRO Market,False,50.0,78550000.0,793.0,1.3780558,0.0
9223,ＡＳＮＯＶＡ,グロース（内国株式）,False,647.0,8010007552.0,8212.0,2.831379,0.0
9224,環境のミカタ,PRO Market,False,5510.0,778563008.0,0.0,0.7762343,9.496725
9225,ブリッジコンサルティンググループ,グロース（内国株式）,False,1438.0,2857487872.0,2003.0,2.5135217,17.616323
9226,アイガー,PRO Market,False,0.0,1224000000.0,0.0,3.2991958,13.831259
9227,マイクロ波化学,グロース（内国株式）,False,694.0,10668867584.0,287696.0,13.269712,67.84274
9229,サンウェルズ,プライム（内国株式）,False,733.0,23545995264.0,251800.0,2.982769,0.0
9233,アジア航測,スタンダード（内国株式）,False,1263.0,22812000256.0,27819.0,1.0671202,16.859995
9235,売れるネット広告社グループ,グロース（内国株式）,False,1395.0,10149628928.0,469046.0,36.112762,0.0
9236,ジャパンＭ＆Ａソリューション,グロース（内国株式）,False,1313.0,1932582528.0,2450.0,0.0,0.0
9237,笑美面,グロース（内国株式）,False,2773.0,5650402304.0,19241.0,7.4543295,34.56438
9238,バリュークリエーション,グロース（内国株式）,False,1618.0,3642055680.0,64582.0,5.7659245,46.806625
9239,ケーイーティ,PRO Market,False,0.0,1500000000.0,0.0,0.0,13.315579
9240,デリバリーコンサルティング,グロース（内国株式）,False,501.0,2462410240.0,186573.0,2.248846,173.3108
9241,フューチャーリンクネットワーク,グロース（内国株式）,False,3650.0,2489440000.0,40576.0,8.81506,0.0
9242,メディア総研,グロース（内国株式）,False,1551.0,1925294336.0,3749.0,1.2413206,7.290599
9243,富士テクノホールディングス,PRO Market,False,500.0,401300000.0,0.0,6.118154,13.924086
9244,デジタリフト,グロース（内国株式）,False,1288.0,1850231296.0,69965.0,2.6737416,0.0
9245,リベロ,グロース（内国株式）,False,2129.0,10871172096.0,4217.0,4.4365,39.26602
9246,プロジェクトホールディングス,グロース（内国株式）,False,1370.0,7285380096.0,5603.0,3.405981,0.0
